"review_title","review_text","review_star","page"
"







  
  
    Good
  
","









  
  
    
  Good

  
","5.0 out of 5 stars",69
"







  
  
    The Chance You Should Take!
  
","









  
  
    
  Hand to heaven, I was legit scared to order an iPhone from Amazon....BUT so far so good & by good I mean great. I’ve only had it for a little while but I truly have no complaints! I’ll write a follow up review a few months from now.

  
","5.0 out of 5 stars",69
"







  
  
    Buyer Beware. Green Lines on Screen.
  
","









  
  
    
  Very disappointed.  As soon as I first plugged in my phone the screen had green lines on it. Apparently this is a known issue with iPhone X. Not sure how this phone passed inspection to be sellable.

  
","1.0 out of 5 stars",69
"







  
  
    Don’t think just do!
  
","









  
  
    
  Please do not hesitate buying it used! Just like you, I was worried about the cosmetic condition, but alas, it came in and looked BRAND NEW! I’ve had it for about a month now and everything works flawlessly. The only gripe I have is the battery life is at 87%. Other than that, this phone is in perfect condition.

  
","5.0 out of 5 stars",69
"







  
  
    Great deal!
  
","









  
  
    
  the Screen had little to none scratches and the batter life was at 93% which isn’t bad for a refurbished phone! They even throw in a charger! Definitely worth the money and my phone did come unlocked for any carrier. Was skeptical at first but I’m glad I bought the phone. Looks as if I just bought it from Apple

  
","5.0 out of 5 stars",69
"







  
  
    No Sim Tray
  
","









  
  
    
  This came WITHOUT the simcard tray. Spent over 450.00 on a phone for it to come without a damn tray. This was a gift BTW.

  
","1.0 out of 5 stars",69
"







  
  
    Price and appearance
  
","









  
  
    
  Great price for the phone

  
","5.0 out of 5 stars",69
"







  
  
    Phone was in good shape
  
","









  
  
    
  Brought for a gift and they loved it.

  
","5.0 out of 5 stars",69
"







  
  
    Perfect
  
","









  
  
    
  I love it, it is in perfect condition and no scratches it’s very good and the battery is long lasting

  
","5.0 out of 5 stars",69
"







  
  
    3 stars
  
","









  
  
    
  The phone wasn’t capable completely with my phone service. Other than that everything else was good about the phone a small scratch on the screen but nothing to bigTried contacting the seller for a refund but no answer.

  
","3.0 out of 5 stars",69
"







  
  
    Good quality and very NEW!!!!
  
","









  
  
    
  This price is great and the phone is very new no scratch and battery is well

  
","5.0 out of 5 stars",176
"







  
  
    It works
  
","









  
  
    
  It is just OK

  
","3.0 out of 5 stars",176
"







  
  
    Phone
  
","









  
  
    
  My daughter loves her new phone

  
","5.0 out of 5 stars",176
"







  
  
    Good
  
","









  
  
    
  Good

  
","4.0 out of 5 stars",176
"







  
  
    X
  
","









  
  
    
  As described

  
","5.0 out of 5 stars",176
"







  
  
    Ships fast, mine showed up looking perfect!
  
","









  
  
    
  Great phone I really like it I use it a lot it is so cool

  
","5.0 out of 5 stars",176
"







  
  
    Thanks a lot
  
","









  
  
    
  Everything was grate

  
","5.0 out of 5 stars",176
"







  
  
    I Love The Phone That’s What Counts
  
","









  
  
    
  Battery Dies To Fast

  
","5.0 out of 5 stars",176
"







  
    Garantizado por amazon
  
  
","









  
    
  Muy bueno y con garantía de amazon por ser usado

  
  
","5.0 out of 5 stars",176
"







  
  
    I’ll recommend to buy it.
  
","









  
  
    
  I’ll recommend to buy it.

  
","5.0 out of 5 stars",176
"







  
    Salió Rallado
  
  
","









  
    
  Está Rallado  de toda la orilla <U+0001F622>

  
  
","1.0 out of 5 stars",183
"







  
  
    Easy to break .. It’s made of all glass
  
","









  
  
    
  Love the quality

  
","5.0 out of 5 stars",183
"







  
  
    Won't charge
  
","









  
  
    
  Doesn't charge

  
","1.0 out of 5 stars",183
"







  
  
    10/10
  
","









  
  
    
  Very satisfied

  
","5.0 out of 5 stars",183
"







  
  
    Terrible
  
","









  
  
    
  Terrible phone

  
","1.0 out of 5 stars",183
"







  
  
    Good prices
  
","









  
  
    
  It’s very good

  
","5.0 out of 5 stars",183
"







  
  
    Great
  
","









  
  
    
  Love the phone

  
","5.0 out of 5 stars",183
"







  
  
    Great product fast delivery. Better than I expected
  
","









  
  
    
  Love this phone

  
","5.0 out of 5 stars",183
