date_info,name,title,content,rating
Reviewed in India on 7 August 2020,sneha,Received fake,I have received a duplicate product. It doesn't have any mic and the earphone length adjuster. Please replace it with original one. I have even compared it with the pictures that other users have received. design is not matching,1.0 out of 5 stars
Reviewed in India on 11 August 2020,Skand,good sound if we compare to its cost,"it has 3.5mm gold plated jack as usual but its port is neither straight nor 'L' shaped its somewhere is between forming somewhat a curve. It has dual color rubber sheet which is not great but quite sturdy . is mic and control button is in between of two wires, which I am not a great fan of I like it on the right side wire because if the mic is on right wire its much closure to the mouth but in this case its a bit far away. earbuds are not too much comfortable it does not fit in the ear nicely and also the actual part that goes in-ear is heavy and also I think that they should have magnets so that they stick together when not in use sound is good obviously I can't upload an audio clip overall its good if you can find something better within this price range go for that",3.0 out of 5 stars
Reviewed in India on 24 October 2020,Supreet,"Latest and Honest Review 🙂 ( Oct, 2020 )","This would be another honest review of the product. First of all whenever u buy any earphone stop thinking ur self as a DJ or a music composer and if u do so then expect to spend in the same way. 😁. Sound Quality - These earphones are really good and loud. Don't judge as soon as you hear the first song when it gets delivered, play 3-4 songs on full volume and let the speaker warm up, then u will realise the actual sound of it. And actually I am not even able to use the maximum volume as it is really high.. Noise Cancellation - I would say excellent.... I don't hear any back ground noise neither inside nor outside. So I would say it meet the requirements preety well.. Bass - Really high... And I am not a bass lover so I had to use the equalizer to make it at as per my need and then it's provides awesome sound. Though most of us don't use equalizer but please do.. Build Quality - Very Good.... It does not look cheap and looks durable and classy. Best part it does not fall of the ears.. Value for Money - I got it for 899 though after listening to the sound I can pay around 1000 as well.. Battery Backup - It says 12 hours but trust me I don't have that kind of time to test it In fact most of us would use it in a day for may be 4-5 hours. So it fulfill the needs.. Connectivity - I read a lot of reviews before buying but people talk about latency... I don't understand.... U turn on the blue tooth in ur phone.... Turn on the earphone and in next 1 sec it's connected. So people who complain about latency may be testing it in nano or micro second that is not needed for me. I am happy with 1 sec.. Over all - A must buy product in this price range and u want to enjoy music rather than showing off with mostly known brand logo... Like boat, Sony or any other. If you buy u will not regret.. Let me know if this review helped u to find a good pair of earphone, I would love to know. Also if u already using it... Please add if I missed any thing. :)",5.0 out of 5 stars
Reviewed in India on 22 September 2019,sai,No bass,Don't go by the reviews that people are writing this ear phones doesn't have bass they lot of treble and highs which muds the vocal and bass very less,1.0 out of 5 stars
Reviewed in India on 28 August 2020,Ayush Jalan,Quick review after 11 months of use,"After almost a year of using these earphones, here are my final thoughts in brief:. • Sound Quality. Bass (7/10) - The bass is pretty okay for the price. Not too punchy, but definitely not muddy either.. Mids (7/10) - The mids are clean and vocals sound really beautiful in these. Far better than boAt's bassheads.. Treble (8.5/10) - Higher frequencies sound exceptional in these. Earphones twice or thrice the price of these don't perform this well.. • Noise cancellation. Pretty average. It all depends on the perfect set of eartips that you put on and fit in your ears that can give you the best passive noise isolation.. • Build Quality. The outer housing of these earbuds are made of aluminium and is very durable. The cable is thick and can take some damage. However, the mic stopped working after 11 months of use.. • Final thoughts. Do I recommend them? Yes!! I'm someone whose very picky about the tech that I buy and these are one of the best earphones I've bought in this price range.",5.0 out of 5 stars
Reviewed in India on 18 October 2020,Prajwal.k.v,Average.  And doesn't get connected to laptop! Because the earphone jack is slight smaller,"I have been using boAt earphones since it's launch(have almost all the boAt products). Wanted to try out other brands so bought this earphone.... I'm giving my review comparing with boAt basshead 225 earphones as both the products are in the same price range(+/- in few rupees).. °Light weight.. °Sound quality is fine! Trible is more than bass. Whereas in boAt basshead 225 treble and bass is equal. Can say the bass is more.. So people who are looking for more bass, close your eyes and go for boAt basshead 225.. °boAt has a tangle-free and flat wire and feels premium But in Boult it's round and quality feels a bit low.. °Microphone has a slight distortion, I might have got a defect earphone. But I don't agree with that as I bought 2pairs at once and both the earphones have the same problem... °and mainly DOES NOT SUPPORT LAPTOP JACK!. so if you wanna use earphones for a laptop or desktop, don't buy this.... Overall I can say Boult Audio x1 is a good earphone for people who doesn't like more of bass... but not good for calling.",2.0 out of 5 stars
Reviewed in India on 15 October 2020,Rahul,Very good at this price !!! Editing review based on support experience,"I had brought these earphones and they are very good for the price they offer. Only thing I was not happy is that earphones plug come out from phone automatically so I have to re-insert frequently. Otherwise sound quality is very good at this price. Good one to go if you are looking for decent earphones in lesser price.. Based on customer support call which I got saying if review is provided they would give some reward. I had got a call and also whatsapp chat to provide screenshot of review. Once I provided the screenshot of review, they don't respond to me. They are not replying back hence giving less rating as I feel they are cheating customers.",1.0 out of 5 stars
Reviewed in India on 21 August 2020,Ranjith N Menon,Initially I was fooled but eventually amazon kept it's promise,"Finally got this product after an empty package being sent on the first order, I was extremely disappointed that I was one of the customer who fell for this trap, but now Amazon sent another order of the same product, and this time packaging was intact and hassle-free. Coming to the product I tested it as soon as I got, the product is genuine and is the audio amazing. Thank you Amazon for creating another happy customer.",5.0 out of 5 stars
Reviewed in India on 1 August 2020,VADDADI  SATYANARAYANA,Excellent low budget wired earphones,"This is a real set of budget earphones. Just choose the appropriate size of earbuds to comfortably pack your ears (do not allow the earphones go deep into the earcanal) and use the smallest size of fin, which suits most of the people (if it is bigger it pains you after using continuously for long time) and burn the earphones for just two hours playing various genre of music including bass heavy songs. Believe me, the earphones give exceptional performance. I am a bass music lover. I can say these earphones produce rich quality bass. The phone calls are very clear both for the maker and receiver. The reception of the mic is very good. Regarding noise cancellation, the performance is just acceptable. Finally, the earphones are surprisingly priced at under Rs.400/-. Nowhere the specifications of the earphones are mentioned by the manufacturer, probably to avoid competition among their own products.",5.0 out of 5 stars
Reviewed in India on 28 December 2020,vinayak sharma,"9 months regular n rough use, still working as good as new.","Writing the review late... After 9 months use.. Seriously... When I first bought this I had no idea it will be working for so long. Bought them just before lockdown started. Regular use, rough conditions, every now n then fell asleep while they still in use and next morning found them tangled up on bed. Good quality voice and sturdy.. That's all I wanted. Mine next wired headset will be this same item in the future.",5.0 out of 5 stars
