ASIN,date_info,name,title,content,rating
B089WZZ33C,Reviewed in India on 15 October 2020,Raj Kumar,Panasonic rocks,"Product is good and smart in looks .. ,........... .... ... ... . . . . . . . .",5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 25 February 2021,Arbaz,Best Washing Machine,Best Machine ever. I recommend this machine to everyone. Go for it blindly. Panasonic really did a great job.. Machine is almost silent and Washing clothes very effectively. As per recommendations Top Load Washing powder is necessary for best results.,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 14 December 2020,Jaya,West brand,"Panasonic is a west brand not trust worthy, poor service and useless brend too it's my second bad experience. Don't buy",1.0 out of 5 stars
B089WZZ33C,Reviewed in India on 16 March 2021,Divya,Good product!!!,"Usage of washing machine was very nice, I can put king size fur type blanket to wash also. Worth of money. Noiseless. Overall satisfied. Go ahead and buy....!!!",4.0 out of 5 stars
B089WZZ33C,Reviewed in India on 12 February 2021,Amazon Customer,Great product,Totally satisfied with the product including delivery and installation. Great value for its prince....worth every penny spent 👍... Buy it you won't regret,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 25 February 2021,Lokendra singh chauhan,Nice performance,Great product working very smooth with DND happy with delivery team as well thank you amazon love this product 😊,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 15 January 2021,Amazon Customer,Super product,Good product with low price.. A must buy product..... Inlet pipe is very small.. And outlet pipe as well very small,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 24 February 2021,surya jijo,Panasonic,Noise level is low. Quick wash is a great! But there is no wash option between 17 & 42 minutes.,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 16 March 2021,Tej,Value for money,Very good washing machine haven’t Used much but working absolutely fine less noise good cleaning and drying clothes,4.0 out of 5 stars
B085JF9J44,Reviewed in India on 12 September 2020,Neeraj kumari,Amazing purchase. ..,Superb product at this price range.... Smooth functioning and no sound while operating ... Hope after sale services will also be good too. .,5.0 out of 5 stars
B085JF9J44,Reviewed in India on 15 August 2020,manish,"Cheap quality plastic used ,don't buy","Plastic used in the machine is of very cheap quality . All the pipes drain pipe and water pipe are coming out when machine is functional . Spin tub is not working properly . There is no customer service ,we have been asking for engineer visit but there is no response from the company 😞. It's a waste of money .Amazon should take this back as we have taken the product of new companybon their goodwill .",1.0 out of 5 stars
B085JF9J44,Reviewed in India on 19 September 2020,Consumer,Worth the money. But the build quality??,Best in its price range. Functioning is smooth and I am using it since couple of months now I guess. And it's good looking compared to some other machines in this price range.. The negative is its build quality which is not the worst. But it's cheap plastic or atleast it's not strong enough to last some years.. Another point is nowhere I could find the energy rating in my machine. But it is mentioned 5 stars in the website.,3.0 out of 5 stars
B085JF9J44,Reviewed in India on 4 February 2021,kiran,Cool Thing about the top load washing machine which  I purchased.,"I am software Engineer.. I need to relocate to local town in A.P with minimum luggage due to pandemic. Here comes the problem. I was looking for low budget washing machine as I have Front load washing machine at Hyderabad.. I searched for Top load washing machine which can be used for 6 months with out any issues. With the customer feed back in the Amazon website, I have purchased White Westinghouse (Trademark By Electrolux) 8 kg Semi-Automatic Top Loading Washing Machine.. From My perspective.. 9th day today ( I purchased it on 25th Jan 2021).. it is the best in the Budget.. I feel like families me (Four members & not hard working :-)) it is the best. As of now.. I can give 5 stars to this.. I did not thought Top load machines will remove dirt. My wife observed only oil stain was not removed on jute bag. Thats okay. Maintenance.. is less.. 1. Plug and Play ( no need of installation). 2. Spinner removes the water and almost dries them out .. I could say 90% water removal. 3. No need to stand 4. You can lift it and place it any where you want. From my end, I could see little manual work is needed when compared to top load washing machine. I say that is okay for me as maintenance will be more in front load washing machine. Lets hope for the best and I assume machine will not give troubles in the future .. I mean atleast for next 6 months. Company provides 2 year warranty on the machine.",5.0 out of 5 stars
B085JF9J44,Reviewed in India on 26 October 2020,sugandhi a,Waste,Doesn't work . The customer executive also doesn't response. Waste of money they say one year warranty but when the product is not good and we call the customer care they dont even respond.,5.0 out of 5 stars
B085JF9J44,Reviewed in India on 22 January 2021,Neeraj sorout,Value for money product...without any confusion,I really like the machine provided by Electrolux... Thanks for providing a wonderful product in my bughet... 1.very slick design. 2.sound very good while wash the cloth. 3.Dashboard is very pretty. 4.button are very good. I think outlet pipe should be long.. But they provide short pipe,5.0 out of 5 stars
B085JF9J44,Reviewed in India on 7 November 2020,Abhijeet,Product quality is awesome and value for money,The product is really good and awesome looking. The washer and dryer cap is transparent that is awesome. This is value for money and the company is 50+years old 😳. But the outlet pipe is short. It’s must be long. Thankfully I got this product. I also gifted it to my aunt after she felt for it,5.0 out of 5 stars
B085JF9J44,Reviewed in India on 7 November 2020,Mohit Sharma,Best  washing machine,Good washing Machine beautiful look essay to washing clothes,5.0 out of 5 stars
B085JF9J44,Reviewed in India on 28 October 2020,DEEPTI SHARMA,Pathetic service,worst product to go for ...and worst customet service .. After delivery of order you will be asked for good review .however after two months itself machine will stop working and there would be no customer care number anywhere updated on google or site.. Pls dont buy this brand.only sales no service.pathetic,1.0 out of 5 stars
B085JF9J44,Reviewed in India on 31 January 2021,Samoya,White Westinghouse product very amazing. I love it❤,I would recommended to everyone this product is very great and the product material is good quality tub size is big according to 8kg and very covinient to used.Amazing sound wash clothes great👍,5.0 out of 5 stars
B085JF9J44,Reviewed in India on 27 October 2020,Ratheesh.R,Amazing Amazon Purchase,Excellent product at affordable price. Value for money. Kudos to the seller...🤩🤩🤩🤩,5.0 out of 5 stars
B085JF9J44,Reviewed in India on 5 December 2020,Arif,1 month review,Good working but dry little bit slower compare to other brand like lg and samsung.,4.0 out of 5 stars
B085JF9J44,Reviewed in India on 26 October 2020,CT,Good Product for Value and Quality,"The product arrived in a well packed manner , simple instructions were provided for setting it up . The machine appears to be robust , well built quality .. I would recommend it to anyone going for it .",5.0 out of 5 stars
B085JF9J44,Reviewed in India on 24 January 2021,B. Ramadhar Reddy,Avg,Makes lot of noise n machine power is suspect.,3.0 out of 5 stars
B085JF9J44,Reviewed in India on 18 January 2021,krishan kumar,Nice product,Good product value of money am so happy,5.0 out of 5 stars
B085JF9J44,Reviewed in India on 6 November 2020,kalpesh d,Value for money,"Good budget semi automatic washing machine .. Only washing sound is bit more ,since its a budget washing machine its is tolerable...overall very good product by electolux",4.0 out of 5 stars
B085JF9J44,Reviewed in India on 7 November 2020,Abdullah Javeed,Excellent quality,"First think I like about the delivery,because they deliver before the mention date,. Product which we buy it's excellent and its durable because it will not get rust.",5.0 out of 5 stars
B085JF9J44,Reviewed in India on 2 December 2020,Susyanta Kumar Padhy,Review for the product by Amazon,Look of this washing machine is awesome.. I used it for since 15 days works smoothly.. Overall very good in this price.,5.0 out of 5 stars
B085JF9J44,Reviewed in India on 21 September 2020,Ravi Sasanapuri,Very good product,Performance is very good and worth product in this low price range. Look is so nice. Inlet and outlet pipes quality should have been good.,4.0 out of 5 stars
B085JF9J44,Reviewed in India on 21 October 2020,Bilu Varughese,Good quality,It is a very good machine. It is good to have a machine like this at such a low price. good quality plastic body and overall very good,5.0 out of 5 stars
B085JF9J44,Reviewed in India on 7 January 2021,Prashik Borkar,excellent Built Quality,"satisfied with the build quality, best in the class. Would recommend people looking for semi-automatic washing to buy this product.",5.0 out of 5 stars
B085JF9J44,Reviewed in India on 30 January 2021,Ashish jain,Nice waching machine from whitehouse,It's a nice product very less water consumption..five star for it..,5.0 out of 5 stars
B085JF9J44,Reviewed in India on 5 January 2021,Bajaj Repricing Outlet,This is a valueable product,"This is a valueable product, I love to suggest to another customers to go for this product without any hesitation.",5.0 out of 5 stars
B085JF9J44,Reviewed in India on 18 December 2020,RANADHIR MALLICK,Best choice of washing machine,Product is good according to the price. Very useful than automatic,5.0 out of 5 stars
B085JF9J44,Reviewed in India on 25 January 2021,Rahul Singh,Excellent machine,"This product is very usefull, the speed is so fast, and after wash the clothes is very clean. Full paisa wasul machine",5.0 out of 5 stars
B085JF9J44,Reviewed in India on 8 December 2020,suraj rao,Value prices,Working of the product is outstanding. Less noise and navigation is good and the service is extraordinary,5.0 out of 5 stars
B085JF9J44,Reviewed in India on 8 December 2020,Sandhya,Somehow satisfied,"Product is good but small in size, being 8kg it's seems like 6.5kg",5.0 out of 5 stars
B085JF9J44,Reviewed in India on 7 November 2020,TARUN GANDHI,"In 8kg capacity ,Best price ..","Good machine, sound less, easy to handle... Hope and trust company will provide Good and timely service also..",4.0 out of 5 stars
B085JF9J44,Reviewed in India on 25 January 2021,Sandeep Kumar,Value for Money,The product quality in this price is Very good and 5 star rating electric consumption also best in this price.,5.0 out of 5 stars
B085JF9J44,Reviewed in India on 30 October 2020,Devender  Kumar,Good Product working well,Good Product working well,5.0 out of 5 stars
B085JF9J44,Reviewed in India on 11 September 2020,sharad goel,CHEAP AND BEST,"CHEAP AND BEST IN RANGE OF 8 KG WASHING MACHINE , WELL BRAND , FAST DELIVERY , GOOD PACKING",4.0 out of 5 stars
B085JF9J44,Reviewed in India on 20 October 2020,Sant Kumar,Amazing,Amazing product at this price level,5.0 out of 5 stars
B085JF9J44,Reviewed in India on 15 March 2021,Gaurav,Good for middle class family,Good budget able,4.0 out of 5 stars
